,age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,outcome,first_name,last_name,age_bucket,month_padded,day_padded,date
1,33,"3887RATKEMEADOWS\NNORTHLEANNATON,VI94092-4948",services,married,secondary,False,4789,True,True,cellular,11,may,220,1,339,4,failure,False,domenico,swift,3,05,11,11/05
2,35,"056 pfannerstill cape st.\neast marta, nj 21058",management,single,tertiary,False,1350,True,False,cellular,16,apr,185,1,330,1,failure,False,talon,gulgowski,3,04,16,16/04
5,35,"3547 Treutel Crossing Apt. 567\nReillytown, AS 77039-3937",management,single,tertiary,False,747,False,False,cellular,23,feb,141,2,176,3,failure,False,richmond,effertz,3,02,23,23/02
6,36,"177CorneliusCampApt.478\nNikolausbury,AA16457-1154",self-employed,married,tertiary,False,307,True,False,cellular,14,may,341,1,330,2,other,False,lauren,mcclure,3,05,14,14/05
9,43,"03353CORKERYPRAIRIE\NWESTLONNIE,AR87918-1164",services,married,primary,False,-88,True,True,cellular,17,apr,313,1,147,2,failure,False,justina,willms,4,04,17,17/04
14,31,"0036 0'R3illy Gr0v3s Apt. 281\nPark3rvill3, VA 86050-0641",blue-collar,married,secondary,False,360,True,True,cellular,29,jan,89,1,241,1,failure,False,donavon,witting,3,01,29,29/01
17,37,"84007 K3agan Cr0ssing\nN3w J0rdynm0uth, WI 12784",admin.,single,tertiary,False,2317,True,False,cellular,20,apr,114,1,152,2,failure,False,therese,boyer,3,04,20,20/04
19,31,"52473RN3STINACLUBAV3.\N3ASTJ0NATHANBURGH,VA41037-0979",services,married,secondary,False,132,False,False,cellular,7,jul,148,1,152,1,other,False,adalberto,oberbrunner,3,07,07,07/07
27,67,"649BOGISICHDRIVESST.\NMELODYVIEW,AA86254-5642",retired,married,unknown,False,696,False,False,telephone,17,aug,119,1,105,2,failure,False,ansel,denesik,6,08,17,17/08
38,33,"61573HesselGlen\nKerlukehaven,MO78369-8019",management,married,secondary,False,3935,True,False,cellular,6,may,765,1,342,2,failure,True,eulah,thiel,3,05,06,06/05
40,38,"7575 P0llich Fi3ld Av3.\nLak3 Shani3land, GA 48064-0663",management,single,tertiary,False,11971,True,False,unknown,17,nov,609,2,101,3,failure,False,philip,hickle,3,11,17,17/11
46,55,"7822 W3B3R STATI0N \NW3ST MARYJAN3B3RG, SD 78054",blue-collar,married,primary,False,145,False,False,telephone,2,feb,59,3,5,2,other,False,isabella,thompson,5,02,02,02/02
49,61,"381 murazik unions apt. 114\nstrosinton, fm 05678",admin.,married,unknown,False,4629,True,False,cellular,27,jan,181,1,92,1,success,True,felton,lockman,6,01,27,27/01
53,34,"603 Geovany Club \nWest Chad, NJ 94040-2180",technician,married,tertiary,False,1539,True,False,cellular,15,jun,441,1,56,1,other,True,amely,boehm,3,06,15,15/06
65,51,"39792 Dereck Dam\nNorth Evie, RI 78890",blue-collar,divorced,secondary,False,203,True,False,cellular,8,may,134,1,170,5,failure,False,prudence,rowe,5,05,08,08/05
70,37,"0170 mohr parks ave.\nconnellytown, ky 29076-5325",management,married,tertiary,False,0,False,False,cellular,16,jul,268,2,182,3,success,True,misael,franecki,3,07,16,16/07
76,41,"985 Zelda Bridge Apt. 181\nSipesmouth, PR 14631",blue-collar,divorced,secondary,False,174,True,False,cellular,14,may,367,2,297,1,other,False,roma,friesen,4,05,14,14/05
79,40,"23563 williams0n plains\nlak3 kal3shir3, ny 52332",unemployed,married,secondary,False,219,True,False,cellular,17,nov,204,2,196,1,failure,False,kole,russel,4,11,17,17/11
83,52,"9329LeuschkeHarborAve.\nSouthGiuseppe,MI01799",services,married,secondary,False,657,False,False,telephone,7,jul,398,2,460,2,failure,True,verlie,kuvalis,5,07,07,07/07
97,30,"9804 Crona Lock Suite 555\nPorterstad, OH 74434-0051",admin.,single,tertiary,False,261,False,False,cellular,19,oct,233,1,137,20,failure,False,polly,dicki,3,10,19,19/10
98,36,"5835 Davis Fall Apt. 454\nNew Laurel, MN 50972-9205",blue-collar,divorced,secondary,False,2843,False,False,cellular,12,feb,473,1,182,1,success,False,maximo,douglas,3,02,12,12/02
101,38,"717 Andres Manors \nLake Griffin, NH 22488-4768",management,single,tertiary,False,493,True,False,cellular,11,may,553,1,367,7,failure,False,alanna,bayer,3,05,11,11/05
